"","cells","Class","n","coords.x1","coords.x2","ID","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"175","27815","Seagrasses",6,115.35485555,-33.5752611116667,175,-13,0.0403155200183392,0.0403155200183392,309.988800048828,309.988800048828,0.125,0.125,1,32
"176","27816","Seagrasses",11,115.3560512,-33.5765214285714,176,-13,0,0,90,90,0,0,0,128
"177","27855","Seagrasses",3,115.45418666,-33.57566,177,-1,NA,NA,NA,NA,NA,NA,2,1
"178","27965","Seagrasses",9,115.116562955556,-33.5783648144444,178,-17,0.317996889352798,0.317996889352798,42.840217590332,42.840217590332,-0.125,1.125,4,1
"179","27993","Seagrasses",12,115.186219433333,-33.5788000008333,179,-22,0.0962218567728996,0.0962218567728996,74.3800354003906,74.3800354003906,0.25,0.25,1,1
"180","28003","Seagrasses",2,115.2125167,-33.579383335,180,-22,0.155449286103249,0.155449286103249,3.81666574701071e-14,3.81666574701071e-14,-0.125,0.625,2,32
"181","28004","Seagrasses",1,115.2128,-33.577766665,181,-22,0.167275443673134,0.167275443673134,21.6738948822021,21.6738948822021,0,0.5,2,64
"182","28041","Turf.algae",6,115.306270507692,-33.5783820515385,182,-18,0.0962218567728996,0.0962218567728996,285.619964599609,285.619964599609,0.25,0.25,1,16
"183","28061","Seagrasses",4,115.357252783333,-33.5779305566667,183,-13,9.93923349559222e-17,9.93923349559222e-17,90,90,0,0,0,32
"184","28062","Seagrasses",5,115.3579778,-33.57903611,184,-13,9.93923349559222e-17,9.93923349559222e-17,90,90,0,0,0,64
"185","28209","Seagrasses",4,115.11407085,-33.5816791675,185,-15,0.159275740385056,0.159275740385056,35.5790939331055,35.5790939331055,0.625,0.625,2,1
"186","28210","Seagrasses",5,115.11528,-33.580283334,186,-16,0.238212898373604,0.238212898373604,40.4190559387207,40.4190559387207,0,0.75,3,128
"187","28237","Seagrasses",3,115.184816666667,-33.5821555566667,187,-22,0.161267176270485,0.161267176270485,309.987152099609,309.987152099609,-0.25,0.5,3,16
"188","28238","Seagrasses",6,115.185409090909,-33.5808075763636,188,-22,0.183969244360924,0.183969244360924,9.66631317138672,9.66631317138672,-0.375,0.625,3,128
"189","28249","Seagrasses",8,115.2127375125,-33.581008335,189,-21,0.120650872588158,0.120650872588158,30.8012084960938,30.8012084960938,0.5,0.5,1,1
